Parameter,Type,Description
profile-name,"Parameter type: <AsamProfileName>
Format:
- a profile name
- range: [a-zA-Z0-9-_.]
- length: 1<=x<=32","mandatory parameter
A unique profile name"
[no] pbit0,"Parameter type: <Vlan::NibbleMaskRestricted_0>
Format:
- nibble mask
- range: [0...8]","optional parameter with default
value: 8
pbit mapping corresponding to
pbit0"
[no] pbit1,"Parameter type: <Vlan::NibbleMaskRestricted_1>
Format:
- nibble mask
- range: [0...8]","optional parameter with default
value: 8
pbit mapping corresponding to
pbit1"
[no] pbit2,Parameter type: <Vlan::NibbleMaskRestricted_2>,optional parameter with default
