Parameter,Type,Description
,"Format:
- nibble mask
- range: [0...8]","value: 8
pbit mapping corresponding to
pbit2"
[no] pbit3,"Parameter type: <Vlan::NibbleMaskRestricted_3>
Format:
- nibble mask
- range: [0...8]","optional parameter with default
value: 8
pbit mapping corresponding to
pbit3"
[no] pbit4,"Parameter type: <Vlan::NibbleMaskRestricted_4>
Format:
- nibble mask
- range: [0...8]","optional parameter with default
value: 8
pbit mapping corresponding to
pbit4"
[no] pbit5,"Parameter type: <Vlan::NibbleMaskRestricted_5>
Format:
- nibble mask
- range: [0...8]","optional parameter with default
value: 8
pbit mapping corresponding to
pbit5"
[no] pbit6,"Parameter type: <Vlan::NibbleMaskRestricted_6>
Format:
- nibble mask
- range: [0...8]","optional parameter with default
value: 8
pbit mapping corresponding to
pbit6"
[no] pbit7,"Parameter type: <Vlan::NibbleMaskRestricted_7>
Format:
- nibble mask
- range: [0...8]","optional parameter with default
value: 8
pbit mapping corresponding to
pbit7"
